region_id,year,blue_economy_pct_of_natl
2,2009,3.4
3,2009,3.4
6,2009,3.4
7,2009,3.4
9,2009,3.4
12,2009,3.4
15,2009,3.4
2,2011,3.8
3,2011,3.8
6,2011,3.8
7,2011,3.8
9,2011,3.8
12,2011,3.8
15,2011,3.8
2,2013,4.3
3,2013,4.3
6,2013,4.3
7,2013,4.3
9,2013,4.3
12,2013,4.3
15,2013,4.3
2,2015,4.6
3,2015,4.6
6,2015,4.6
7,2015,4.6
9,2015,4.6
12,2015,4.6
15,2015,4.6
2,2016,4.3
3,2016,4.3
6,2016,4.3
7,2016,4.3
9,2016,4.3
12,2016,4.3
15,2016,4.3
2,2017,4.8
3,2017,4.8
6,2017,4.8
7,2017,4.8
9,2017,4.8
12,2017,4.8
15,2017,4.8
2,2018,4.6
3,2018,4.6
6,2018,4.6
7,2018,4.6
9,2018,4.6
12,2018,4.6
15,2018,4.6
25,2009,0.4
28,2009,0.4
31,2009,0.4
34,2009,0.4
25,2011,9.2
28,2011,9.2
31,2011,9.2
34,2011,9.2
25,2013,7.7
28,2013,7.7
31,2013,7.7
34,2013,7.7
25,2015,7
28,2015,7
31,2015,7
34,2015,7
25,2016,7.1
28,2016,7.1
31,2016,7.1
34,2016,7.1
25,2017,6.8
28,2017,6.8
31,2017,6.8
34,2017,6.8
25,2018,7.2
28,2018,7.2
31,2018,7.2
34,2018,7.2
30,2009,2.2
32,2009,2.2
36,2009,2.2
38,2009,2.2
40,2009,2.2
42,2009,2.2
30,2011,2.4
32,2011,2.4
36,2011,2.4
38,2011,2.4
40,2011,2.4
42,2011,2.4
30,2013,2.4
32,2013,2.4
36,2013,2.4
38,2013,2.4
40,2013,2.4
42,2013,2.4
30,2015,2.3
32,2015,2.3
36,2015,2.3
38,2015,2.3
40,2015,2.3
42,2015,2.3
30,2016,2.3
32,2016,2.3
36,2016,2.3
38,2016,2.3
40,2016,2.3
42,2016,2.3
30,2017,2.2
32,2017,2.2
36,2017,2.2
38,2017,2.2
40,2017,2.2
42,2017,2.2
30,2018,2.1
32,2018,2.1
36,2018,2.1
38,2018,2.1
40,2018,2.1
42,2018,2.1
4,2009,1.2
8,2009,1.2
10,2009,1.2
13,2009,1.2
16,2009,1.2
4,2011,NA
8,2011,NA
10,2011,NA
13,2011,NA
16,2011,NA
4,2013,NA
8,2013,NA
10,2013,NA
13,2013,NA
16,2013,NA
4,2015,1.2
8,2015,1.2
10,2015,1.2
13,2015,1.2
16,2015,1.2
4,2016,1.2
8,2016,1.2
10,2016,1.2
13,2016,1.2
16,2016,1.2
4,2017,1.2
8,2017,1.2
10,2017,1.2
13,2017,1.2
16,2017,1.2
4,2018,1.3
8,2018,1.3
10,2018,1.3
13,2018,1.3
16,2018,1.3
24,2009,3.8
27,2009,3.8
24,2011,3.7
27,2011,3.7
24,2013,5.8
27,2013,5.8
24,2015,4.5
27,2015,4.5
24,2016,4.2
27,2016,4.2
24,2017,4.4
27,2017,4.4
24,2018,4.8
27,2018,4.8
17,2009,0.8
18,2009,0.8
21,2009,0.8
17,2011,0.7
18,2011,0.7
21,2011,0.7
17,2013,1
18,2013,1
21,2013,1
17,2015,0.9
18,2015,0.9
21,2015,0.9
17,2016,0.9
18,2016,0.9
21,2016,0.9
17,2017,0.9
18,2017,0.9
21,2017,0.9
17,2018,1
18,2018,1
21,2018,1
1,2009,2.8
5,2009,2.8
11,2009,2.8
14,2009,2.8
20,2009,2.8
26,2009,2.8
29,2009,2.8
35,2009,2.8
37,2009,2.8
39,2009,2.8
41,2009,2.8
1,2011,2.9
5,2011,2.9
11,2011,2.9
14,2011,2.9
20,2011,2.9
26,2011,2.9
29,2011,2.9
35,2011,2.9
37,2011,2.9
39,2011,2.9
41,2011,2.9
1,2013,1.9
5,2013,1.9
11,2013,1.9
14,2013,1.9
20,2013,1.9
26,2013,1.9
29,2013,1.9
35,2013,1.9
37,2013,1.9
39,2013,1.9
41,2013,1.9
1,2015,2.1
5,2015,2.1
11,2015,2.1
14,2015,2.1
20,2015,2.1
26,2015,2.1
29,2015,2.1
35,2015,2.1
37,2015,2.1
39,2015,2.1
41,2015,2.1
1,2016,2.2
5,2016,2.2
11,2016,2.2
14,2016,2.2
20,2016,2.2
26,2016,2.2
29,2016,2.2
35,2016,2.2
37,2016,2.2
39,2016,2.2
41,2016,2.2
1,2017,2.3
5,2017,2.3
11,2017,2.3
14,2017,2.3
20,2017,2.3
26,2017,2.3
29,2017,2.3
35,2017,2.3
37,2017,2.3
39,2017,2.3
41,2017,2.3
1,2018,2.4
5,2018,2.4
11,2018,2.4
14,2018,2.4
20,2018,2.4
26,2018,2.4
29,2018,2.4
35,2018,2.4
37,2018,2.4
39,2018,2.4
41,2018,2.4
