country,monit_program,monit_purpose,report_institute,monit_year,date_ices,day,month,num_indiv_subsample,bulk_id,station,year,species,basis_determination,matrix_analyzed,qflag,sub_samp_id,samp_ref,sub_samp_ref,date,variable,longitude,latitude,value,detect_lim,quant_lim,EXLIP%,FATWT%,WTMAX,WTMEA,WTMIN,AGMEA,DRYWT%,LNMEA,LNMAX,LNMIN,value_wet_wgt,detect_lim_wet_wgt,quant_lim_wet_wgt,qflagged
Sweden,COMB,T,SERI,2012,04/06/2012,4,6,12,NA,Utlängan,2012,Clupea harengus,lipid weight,muscle,NA,17200183,2177928,3787806,2012-06-04,CDFP2,15.780999999999999,55.9491,0.00965,NaN,NaN,3.5,NA,NA,NA,NA,NA,21.6,NA,NA,NA,3.3775000000000005e-4,NaN,NaN,FALSE
Sweden,COMB,T,SERI,2012,04/06/2012,4,6,12,NA,Utlängan,2012,Clupea harengus,lipid weight,muscle,NA,17200183,2177928,3787806,2012-06-04,CDFX1,15.780999999999999,55.9491,0.0022,NaN,NaN,3.5,NA,NA,NA,NA,NA,21.6,NA,NA,NA,7.700000000000001e-5,NaN,NaN,FALSE
Sweden,COMB,T,SERI,2012,04/06/2012,4,6,12,NA,Utlängan,2012,Clupea harengus,lipid weight,muscle,NA,17200183,2177928,3787806,2012-06-04,TCDD,15.780999999999999,55.9491,0.00225,2e-4,2e-4,3.5,NA,NA,NA,NA,NA,21.6,NA,NA,NA,7.875e-5,7.000000000000001e-6,7.000000000000001e-6,FALSE
Sweden,BMP,T,SERI,1998,22/09/1998,22,9,1,NA,Utlängan,1998,Clupea harengus,wet weight,muscle,NA,510,1839710,3665917,1998-09-22,CDF2N,15.780999999999999,55.9491,2.8000000000000003e-4,1e-5,NA,0.7799999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8000000000000003e-4,1e-5,NA,FALSE
Sweden,BMP,T,SERI,1998,22/09/1998,22,9,1,NA,Utlängan,1998,Clupea harengus,wet weight,muscle,NA,515,1839710,3665921,1998-09-22,CDF2N,15.780999999999999,55.9491,0.0017,1e-5,NA,2.9899999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0017,1e-5,NA,FALSE
Sweden,CEMP~BMP,T,SERI,1998,07/09/1998,7,9,1,NA,E/W FLADEN,1998,Clupea harengus,wet weight,muscle,NA,954,1839711,3665937,1998-09-07,CDF2N,11.828,57.224700000000006,5.5e-4,1e-5,NA,4.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5e-4,1e-5,NA,FALSE
Sweden,CEMP~BMP,T,SERI,1998,07/09/1998,7,9,1,NA,E/W FLADEN,1998,Clupea harengus,wet weight,muscle,NA,960,1839711,3665941,1998-09-07,CDF2N,11.828,57.224700000000006,8.400000000000001e-4,1e-5,NA,6.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.400000000000001e-4,1e-5,NA,FALSE
Sweden,BMP,T,SERI,1998,22/09/1998,22,9,1,NA,Utlängan,1998,Clupea harengus,wet weight,muscle,NA,514,1839710,3665920,1998-09-22,CDF2N,15.780999999999999,55.9491,6.500000000000001e-4,1e-5,NA,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.500000000000001e-4,1e-5,NA,FALSE
Sweden,CEMP~BMP,T,SERI,1998,07/09/1998,7,9,1,NA,E/W FLADEN,1998,Clupea harengus,wet weight,muscle,NA,957,1839711,3665940,1998-09-07,CDF2N,11.828,57.224700000000006,6e-4,1e-5,NA,4.609999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e-4,1e-5,NA,FALSE
Sweden,CEMP~BMP,T,SERI,1998,07/09/1998,7,9,1,NA,E/W FLADEN,1998,Clupea harengus,wet weight,muscle,NA,963,1839711,3665944,1998-09-07,CDF2N,11.828,57.224700000000006,5.300000000000001e-4,1e-5,NA,4.819999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.300000000000001e-4,1e-5,NA,FALSE
